price,currency,color,region,sku,name,size,crawl_time,description,category
125.00, ,,UNITED STATES,3Y5T105J17Z16431643,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T405JABZ15761576,JERSEY T-SHIRT WITH LAMINATED LOGO,,,,
110.00, ,,UNITED STATES,3Y5T065J13Z12001200,STRETCH COTTON T-SHIRT WITH LOGO,,,,
110.00, ,,UNITED STATES,3Y5T565JPXZ155N155N,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T415JABZ11001100,Short-sleeve t-shirt,,,,
110.00, ,,UNITED STATES,3Y5T065J13Z11001100,STRETCH COTTON T-SHIRT WITH LOGO,,,,
115.00, ,,UNITED STATES,3Y5T435JABZ11001100,JERSEY T-SHIRT WITH SEQUINS AND STRIPES,,,,
115.00, ,,UNITED STATES,3Y5T435JABZ12001200,JERSEY T-SHIRT WITH SEQUINS AND STRIPES,,,,
100.00, ,,UNITED STATES,3Y5T405JABZ12001200,JERSEY T-SHIRT WITH LAMINATED LOGO,,,,
110.00, ,,UNITED STATES,3Y5T205J15Z12001200,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T555JPXZ11001100,Short-sleeve t-shirt,,,,
110.00, ,,UNITED STATES,3Y5T205J15Z155N155N,Short-sleeve t-shirt,,,,
"1,075.00", ,,UNITED STATES,VMB80TVM713019019,FLORAL PRINT PEACOAT,,,,
"1,050.00", ,,UNITED STATES,3Y5B085L05Z06990699,Blouson Jacket,,,,
"1,395.00", ,,UNITED STATES,VMB67TVM701011011,Dust jacket,,,,
"1,695.00", ,,UNITED STATES,VMB01PVMP01010010,Dust jacket,,,,
920.00, ,,UNITED STATES,3Y5B095L04Z155N155N,Blouson Jacket,,,,
"1,195.00", ,,UNITED STATES,3YMK50MJTMZ09230923,SHORT PEACOAT,,,,
"1,895.00", ,,UNITED STATES,VMB03PVMP03999999,LEATHER PEACOAT WITH ZIP ,,,,
895.00, ,,UNITED STATES,VMB61TVM735019019,Dust jacket,,,,
430.00, ,,UNITED STATES,3Y5B575NYSZ11481148,Blouson Jacket,,,,
330.00, ,,UNITED STATES,3Y5B415NXAZ25622562,REVERSIBLE TECHNICAL FABRIC DOWN JACKET,,,,
430.00, ,,UNITED STATES,3Y5B535NYUZ25142514,Blouson Jacket,,,,
370.00, ,,UNITED STATES,3Y5B455NXGZ19091909,Blouson Jacket,,,,
370.00, ,,UNITED STATES,3Y5B405NXBZ01480148,Down jacket,,,,
580.00, ,,UNITED STATES,3Y5B045N1QZ05570557,Blouson Jacket,,,,
490.00, ,,UNITED STATES,3Y5B445NXEZ14681468,Blouson Jacket,,,,
330.00, ,,UNITED STATES,3Y5B415NXAZ21162116,REVERSIBLE TECHNICAL FABRIC DOWN JACKET,,,,
110.00, ,,UNITED STATES,3Y5T205J15Z11001100,Short-sleeve t-shirt,,,,
330.00, ,,UNITED STATES,3Y5B565NXBZ05570557,TECHNICAL FABRIC DOWN JACKET,,,,
"1,895.00", ,,UNITED STATES,VMG02PVMP05628628,Blazer,,,,
"1,495.00", ,,UNITED STATES,VMG32TVM103013013,Double-breasted jacket,,,,
"1,075.00", ,,UNITED STATES,3YMG54MJRNZ00330033,DIAMOND JACQUARD JACKET,,,,
"1,895.00", ,,UNITED STATES,VMF80RVM983019019,Blazer,,,,
"1,295.00", ,,UNITED STATES,VMG28TVM104010010,SHORT MULTICOLOUR STRIPE JACKET,,,,
"1,395.00", ,,UNITED STATES,VMG02TVM108018018,TWO-BUTTON CREPE JACKET,,,,
"1,195.00", ,,UNITED STATES,VMG16TVM022919919,Blazer,,,,
500.00, ,,UNITED STATES,3Y5L465NYUZ25142514,THREE BUTTON JACKET,,,,
"1,075.00", ,,UNITED STATES,VMG36TVM117010010,3/4 sleeve jacket,,,,
"1,495.00", ,,UNITED STATES,VMG08TVM118019019,TWEED FORMAL JACKET,,,,
"1,195.00", ,,UNITED STATES,VMG14TVM186117117,Blazer,,,,
430.00, ,,UNITED STATES,3Y5B525NXCZ155N155N,Blazer,,,,
"1,045.00", ,,UNITED STATES,3YMG71MJTRZ07000700,Blazer,,,,
725.00, ,,UNITED STATES,3YMG60MJTKZ00190019,HIGH SOCIETY JACQUARD JACKET ,,,,
"1,395.00", ,,UNITED STATES,3YMG56MJRPZ00360036,Three button jacket,,,,
410.00, ,,UNITED STATES,3Y5G825J1IZ12001200,Blazer,,,,
"1,195.00", ,,UNITED STATES,VMG11TVM008923923,ONE-BUTTON WOOL JACKET,,,,
"1,195.00", ,,UNITED STATES,VMG23TVM015727727,ONE-BUTTON V-NECK JACKET,,,,
430.00, ,,UNITED STATES,3Y5B525NXCZ12001200,OPAQUE TECHNICAL FABRIC FORMAL JACKET,,,,
500.00, ,,UNITED STATES,3Y5G105N1MZ11481148,BUTTONLESS FORMAL JACKET,,,,
390.00, ,,UNITED STATES,3Y5G095N1IZ25022502,One button jacket,,,,
610.00, ,,UNITED STATES,3Y5G165N2UZ07000700,One button jacket,,,,
480.00, ,,UNITED STATES,3Y5B545NYFZ11481148,Blazer,,,,
390.00, ,,UNITED STATES,3Y5G095N1IZ29282928,One button jacket,,,,
"1,395.00", ,,UNITED STATES,VMG31TVM110019019,Blazer,,,,
975.00, ,,UNITED STATES,VMG12TVM113019019,SHORT CHECKED FORMAL JACKET,,,,
975.00, ,,UNITED STATES,3YMG73MJXTZ08070807,Blazer,,,,
460.00, ,,UNITED STATES,3Y5G515NYCZ07040704,Blazer,,,,
370.00, ,,UNITED STATES,3Y5G845JZBZ39X239X2,Double-breasted jacket,,,,
"1,195.00", ,,UNITED STATES,3YMG69MJTQZ00300030,HOUNDSTOOTH JACKET,,,,
400.00, ,,UNITED STATES,3Y5G425NYLZ25392539,One button jacket,,,,
380.00, ,,UNITED STATES,3Y5G045N16Z05430543,Two button jacket,,,,
300.00, ,,UNITED STATES,3Y5G835J1IZ11481148,Double-breasted jacket,,,,
